GrndTruth,RASTERVALU,Classified,Latitude,Longitude
3,0,0,4074623.933840000070632,611182.762186000007205
3,3,3,4074622.534800000023097,611185.460329000023194
2,2,2,4074622.268319999799132,611193.538101000012830
2,0,0,4074619.170450000092387,611198.418074000044726
3,0,0,4074611.675609999801964,611247.334397000027820
0,0,0,4074591.972510000225157,611232.644510000012815
0,0,0,4074592.705339999869466,611276.181203000014648
0,0,0,4074577.382550000213087,611043.158300000010058
0,0,0,4074576.050139999948442,611133.262931999983266
0,0,0,4074577.282620000187308,611186.376365000032820
0,0,0,4074587.408979999832809,611215.356413000030443
0,0,0,4074580.463760000187904,611236.158756999997422
0,0,0,4074588.957919999957085,611299.648380000027828
0,0,0,4074576.333269999828190,611312.006537999957800
0,2,2,4074562.792599999811500,611038.894568999996409
0,0,0,4074571.370019999798387,611082.581158000044525
2,2,2,4074569.504639999940991,611068.923894000006840
0,0,0,4074559.661419999785721,611087.227959000039846
0,0,0,4074561.710010000038892,611148.335887999972329
0,0,0,4074565.340840000193566,611179.098041999968700
0,0,0,4074559.311660000123084,611188.641472000046633
0,0,0,4074566.773190000094473,611233.077545000007376
2,0,0,4074564.058389999903738,611274.149269000045024
0,0,0,4074565.540699999779463,611310.907295000040904
0,0,0,4074558.012550000101328,611343.534832000033930
0,2,2,4074547.553090000059456,611010.497453000047244
0,0,0,4074552.649579999968410,611017.326084999949671
0,0,0,4074543.006219999864697,611045.973028999986127
0,0,0,4074552.199889999814332,611071.438828999991529
0,0,0,4074544.571810000110418,611088.743582000024617
0,0,0,4074549.368499999865890,611136.643936999957077
0,0,0,4074539.958320000208914,611142.523222999996506
0,0,0,4074543.489219999872148,611173.185445999959484
2,0,0,4074543.572499999776483,611219.770040999981575
3,3,3,4074548.968780000228435,611243.020699999993667
1,0,0,4074545.737670000176877,611246.251809000037611
2,0,0,4074554.864719999954104,611269.802261000033468
0,0,0,4074546.320600000210106,611294.551888999994844
0,0,0,4074541.590530000161380,611308.692153000039980
1,0,0,4074551.467060000170022,611348.331528999959119
0,0,0,4074544.288670000154525,611367.901389000006020
0,0,0,4074537.426729999948293,611022.439231000025757
0,0,0,4074538.575939999893308,611053.684386000037193
0,0,0,4074532.913170000072569,611072.754590000025928
2,0,0,4074526.151159999892116,611092.557623000000603
0,0,0,4074535.078340000007302,611128.649440999957733
1,1,1,4074530.065130000002682,611120.588325000018813
0,0,0,4074527.883299999870360,611165.690606000018306
3,3,3,4074534.195619999896735,611189.374301000032574
2,2,2,4074523.453009999822825,611220.069833999965340
2,0,0,4074528.716060000006109,611232.394682000041939
0,0,0,4074524.735460000112653,611277.680170999956317
0,0,0,4074527.899949999991804,611319.584654000005685
0,0,0,4074533.629339999984950,611346.882527000037953
0,0,0,4074526.867329999804497,611373.897261000005528
0,0,0,4074516.740970000158995,611041.576055999961682
0,0,0,4074521.237869999837130,611074.420109999948181
0,0,0,4074516.307930000126362,611089.592996999970637
0,0,0,4074505.931739999912679,611102.950468000024557
