GrndTruth,GrndTruth2,RASTERVALU,Classified,Latitude,Longitude
0,0,0,0,4074623.203209999948740,611197.335800000000745
1,1,0,0,4074620.953780000098050,611198.247205000021495
1,1,2,2,4074620.856829999946058,611186.961294000037014
1,1,0,0,4074619.732110000215471,611197.995114000048488
0,0,0,0,4074612.305130000226200,611249.731903000036255
0,0,0,0,4074589.810870000161231,611190.587522999965586
0,0,0,0,4074586.494909999892116,611236.235349999973550
0,0,0,0,4074591.439770000055432,611282.135266999946907
0,0,0,0,4074569.973269999958575,611035.144457999966107
0,0,0,0,4074577.361469999887049,611041.815167999942787
0,0,0,0,4074577.788079999852926,611116.143170999945141
0,0,2,2,4074566.172509999945760,611126.924899999983609
0,0,2,2,4074575.073259999975562,611195.260898999986239
0,0,2,2,4074570.555019999854267,611189.734292999957688
0,0,0,0,4074578.486180000007153,611227.373387999949045
1,1,1,1,4074578.408609999809414,611244.593129000044428
1,1,1,1,4074574.666029999963939,611242.944843000033870
0,0,0,0,4074583.721909999847412,611286.149328000028618
0,0,0,0,4074583.120769999921322,611318.184251000056975
0,0,0,0,4074557.019679999910295,611036.055862999986857
0,0,0,0,4074553.121970000211149,611043.269537999993190
0,0,0,0,4074545.791939999908209,611071.348574999952689
0,0,0,0,4074557.814730000216514,611093.222300000023097
0,0,2,2,4074548.991559999994934,611121.747343000024557
0,0,0,0,4074564.815099999774247,611168.190225000027567
0,0,0,0,4074545.423500000033528,611164.273122000042349
1,1,1,1,4074554.033369999844581,611196.792834999971092
1,1,1,1,4074561.983930000104010,611215.311813000007533
0,0,2,2,4074557.504470000043511,611204.433125999988988
0,0,0,0,4074557.058459999971092,611239.299221999943256
0,0,2,2,4074564.698749999981374,611311.881980999954976
0,0,0,0,4074563.050470000132918,611331.060274000046775
0,0,0,0,4074562.837160000111908,611335.966347999987192
0,0,0,0,4074550.639839999843389,611353.961753000039607
0,0,0,0,4074547.925019999966025,611367.535873000044376
1,1,1,1,4074530.433800000231713,611007.705344000016339
0,0,0,0,4074541.991189999971539,611023.994288000045344
0,0,0,0,4074534.060020000208169,611051.549751000013202
0,0,0,0,4074529.153950000181794,611077.805978000047617
0,0,0,0,4074544.919319999869913,611095.588074999977835
0,0,0,0,4074535.785879999864846,611101.056505999993533
0,0,0,0,4074538.364959999918938,611137.861763000022620
1,1,1,1,4074536.910589999984950,611160.103927999967709
0,0,0,0,4074533.963070000056177,611167.162469999981113
0,0,0,0,4074538.772179999854416,611182.074611000018194
1,1,0,0,4074533.614020000211895,611230.999618000001647
1,1,0,0,4074527.932279999833554,611221.245643000002019
0,0,0,0,4074535.068390000145882,611280.622722000000067
0,0,0,0,4074543.949740000069141,611331.486889000050724
0,0,2,2,4074537.763819999992847,611329.489553999970667
0,0,0,0,4074525.527720000129193,611342.947323999949731
0,0,0,0,4074538.423130000010133,611382.234705999959260
0,0,0,0,4074518.003779999911785,611057.871413000044413
0,0,0,0,4074509.684779999777675,611073.927658000029624
0,0,0,0,4074516.180970000103116,611108.444706000038423
0,0,0,0,4074512.263869999907911,611115.057241000002250
0,0,2,2,4074521.474880000110716,611143.834375999984331
0,0,0,0,4074524.306049999780953,611178.894388000015169
1,1,0,0,4074521.125829999800771,611164.350687999976799
0,0,2,2,4074510.945239999797195,611164.951828000019304
0,0,0,0,4074509.859310000203550,611180.445716000045650
0,0,0,0,4074511.410639999900013,611224.212557999999262
1,1,0,0,4074521.106439999770373,611283.104846999980509
0,0,2,2,4074505.806460000108927,611314.596804999979213
0,0,2,2,4074516.394280000124127,611338.778129999991506
0,0,2,2,4074512.128120000008494,611354.194451999966986
0,0,0,0,4074510.363489999901503,611361.621434999979101
0,0,0,0,4074501.268829999957234,611051.607926000026055
1,1,0,0,4074495.509519999846816,611058.918559000012465
0,0,0,0,4074491.243369999807328,611094.347012000042014
0,0,0,0,4074500.784039999824017,611114.650018000043929
0,0,0,0,4074488.315239999908954,611112.575116000021808
0,0,0,0,4074504.875669999979436,611164.234338999958709
1,1,1,1,4074505.147150000091642,611197.704239999991842
0,0,0,0,4074501.695439999923110,611197.432757999980822
