Classified,GrndTruth,Latitude,Longitude
1,1,4074623.549070000182837,611181.868117999983951
0,0,4074623.720720000099391,611195.273671000031754
0,0,4074611.928640000056475,611248.861552000045776
3,0,4074607.448679999914020,611249.771275999955833
2,1,4074607.362850000150502,611255.727392000029795
0,0,4074591.863220000173897,611234.237313000019640
1,1,4074596.102880000136793,611264.052222999976948
0,0,4074590.078100000042468,611286.537848999956623
0,0,4074572.038110000081360,611066.865298000047915
0,0,4074573.960539999883622,611171.088749999995343
0,0,4074581.324159999843687,611207.014256999944337
2,0,4074575.762829999905080,611195.393823000020348
0,0,4074585.992930000182241,611229.928997999988496
1,1,4074586.971309999935329,611267.536637000041083
0,0,4074581.203999999910593,611288.992387000005692
0,0,4074578.045719999819994,611326.531366999959573
0,0,4074554.616040000226349,611035.763043000013568
1,1,4074559.576609999872744,611072.031842999975197
0,0,4074567.352169999852777,611097.092158999992535
1,1,4074554.478720000013709,611143.041792999953032
2,0,4074567.043209999799728,611166.042357000056654
0,0,4074561.842339999973774,611174.367188000003807
0,0,4074561.962489999830723,611209.709099999978207
1,1,4074555.628750000149012,611237.601574999978766
0,0,4074568.313389999791980,611276.101771999965422
0,0,4074567.832779999822378,611316.610227999975905
0,0,4074561.825170000083745,611337.945825999951921
0,0,4074555.645909999962896,611369.374209000030532
0,0,4074549.758460000157356,611039.316115000052378
2,0,4074544.368770000059158,611045.615524000022560
1,1,4074550.736839999910444,611064.015974999987520
0,0,4074553.414520000107586,611085.351572999963537
0,0,4074540.747039999812841,611112.746274000033736
0,0,4074552.796589999925345,611163.296021000016481
2,0,4074540.575399999972433,611165.699065000051633
1,1,4074537.279790000058711,611162.060169999953359
0,0,4074548.762910000048578,611202.019359000027180
1,1,4074539.854480000212789,611235.267189000034705
0,1,4074539.305219999980181,611231.267836999963038
0,0,4074550.788329999893904,611311.117556000011973
0,0,4074539.820150000043213,611321.948419000022113
2,1,4074549.329340000171214,611360.551604000036605
0,0,4074540.867190000135452,611362.233735000016168
0,0,4074525.933989999815822,611014.547598000033759
1,0,4074527.152679999824613,611037.376516000018455
0,0,4074523.204820000100881,611052.481364000006579
2,0,4074524.492169999983162,611081.146245999960229
0,0,4074527.959420000202954,611097.572767999954522
0,0,4074526.809390000067651,611141.565638000029139
0,0,4074527.204169999808073,611182.177080999943428
1,1,4074530.774410000070930,611196.269218000001274
2,1,4074524.526500000152737,611210.962115000002086
0,0,4074523.067499999888241,611225.637848000042140
0,0,4074534.361810000147671,611294.828350999974646
0,0,4074527.616119999904186,611320.111807000008412
0,0,4074529.538559999782592,611365.495008999947459
1,1,4074523.307810000143945,611378.660257000010461
0,1,4074514.193409999832511,611021.035815999959596
2,0,4074519.102479999884963,611068.633251999970526
0,0,4074512.562770000193268,611058.454644000041299
1,1,4074502.023699999786913,611072.031842999975197
0,0,4074513.026209999807179,611118.616567000048235
2,1,4074515.034469999838620,611137.034182999981567
0,0,4074517.437520000152290,611153.941314000054263
0,0,4074513.729960000142455,611191.016850000014529
0,0,4074511.670210000127554,611218.051095000002533
1,1,4074511.550059999804944,611240.262087999959476
0,0,4074501.920719999819994,611248.861552000045776
0,0,4074518.930840000044554,611321.433481000014581
0,0,4074508.426099999807775,611341.258594000013545
2,0,4074503.637180000077933,611368.996587999979965
0,0,4074508.391770000103861,611376.686328000039794
1,1,4074496.393720000050962,611049.374570999993011
0,0,4074499.672149999998510,611054.558279999997467
2,0,4074487.914400000125170,611095.255546999978833
0,0,4074501.302790000103414,611133.360958999954164
1,1,4074484.790450000204146,611150.096444000024348
0,0,4074493.304090000223368,611165.355773000046611
0,0,4074489.853999999817461,611211.013609000016004
0,1,4074489.802509999834001,611236.194077000021935
1,1,4074494.934719999786466,611247.007774999947287
0,0,4074489.699519999790937,611299.720261999987997
2,0,4074499.140050000045449,611325.020881999982521
0,0,4074494.248139999806881,611341.275758999981917
0,0,4074500.290080000180751,611375.793768999981694
0,0,4074485.305379999801517,611394.177055999985896
0,0,4074490.471929999999702,611428.317445000051521
1,1,4074478.216399999801069,611049.408900000038557
0,1,4074479.469419999979436,611059.244215999962762
2,0,4074474.749160000123084,611082.193286000052467
1,1,4074467.162399999797344,611074.314735000021756
0,0,4074483.485940000042319,611128.091427000006661
0,0,4074467.042249999940395,611157.168259000056423
2,1,4074480.979900000151247,611184.219669000012800
0,0,4074474.920799999963492,611179.791201999993064
0,0,4074483.159810000099242,611235.284354000003077
1,1,4074481.306030000094324,611239.901630999986082
0,0,4074475.212600000202656,611289.472995999967679
0,0,4074473.410319999791682,611316.919191000051796
0,0,4074472.054310000035912,611352.261103000026196
0,0,4074477.375339999794960,611387.105240999953821
2,1,4074474.337199999950826,611419.237372000003234
0,0,4074478.902989999856800,611425.365133999963291
0,0,4074476.963390000164509,611462.131706999964081
1,1,4074478.439540000166744,611474.833511000033468
1,1,4074452.366520000156015,611071.722880000015721
0,0,4074457.721870000008494,611089.917356000049040
2,0,4074465.703410000074655,611130.580293999984860
0,0,4074450.753039999864995,611130.614623000030406
0,0,4074449.980640000198036,611168.445400999975391
0,0,4074450.478409999981523,611207.975474999984726
1,1,4074454.512089999858290,611240.433733999961987
0,0,4074462.957070000004023,611254.611692999955267
0,0,4074459.901779999956489,611323.561891000019386
0,0,4074449.345550000201911,611346.562455000006594
0,0,4074454.906880000140518,611375.107184999971651
2,0,4074461.343599999789149,611399.686892000027001
0,0,4074449.585849999915808,611410.672235999954864
1,1,4074464.295909999869764,611454.785258000018075
0,0,4074454.786729999817908,611440.830439000041224
0,0,4074439.905019999947399,611070.607181000057608
2,0,4074439.922180000226945,611116.831449000048451
0,0,4074447.354449999984354,611136.931195999961346
0,0,4074444.299149999860674,611158.558592000044882
1,1,4074447.800729999784380,611189.266060999943875
0,0,4074431.528690000064671,611208.782210999983363
0,0,4074439.647549999877810,611251.848192999954335
1,1,4074439.269929999951273,611255.967697000014596
3,1,4074442.617019999772310,611334.186778999981470
0,0,4074442.376720000058413,611350.304338000016287
2,0,4074438.188560000155121,611335.285312999971211
0,0,4074436.403440000023693,611371.022009999956936
0,0,4074445.243209999985993,611408.955776000046171
0,0,4074448.212679999880493,611444.778296999982558
