GrndTruth,Classified,RASTERVALU,Latitude,Longitude
0,0,0,4074772.347560000140220,610637.426925000036135
0,0,0,4074775.614560000132769,610678.316328000044450
0,0,0,4074777.818489999976009,610705.671000999980606
0,0,0,4074786.711999999824911,610750.475621000048704
1,1,1,4074786.115650000050664,610730.329098999965936
1,0,0,4074777.636990000028163,610741.945111999986693
0,0,0,4074783.315359999891371,610763.984422000008635
0,0,0,4074773.747700000181794,610764.425208000000566
0,0,0,4074774.525559999980032,610789.524092999985442
0,0,0,4074779.166780000086874,610855.745737000019290
0,0,0,4074771.077060000039637,610840.421934999991208
0,0,0,4074787.126860000193119,610912.399728000047617
0,0,0,4074772.321630000136793,610898.657570000039414
0,0,0,4074783.678359999787062,610924.430598999955691
0,0,0,4074775.095989999826998,610933.272251000045799
1,1,1,4074787.749150000046939,610961.845568999997340
0,0,0,4074787.100930000189692,610963.686498999944888
0,0,0,4074774.110700000077486,610952.018629000056535
0,0,0,4074783.444999999832362,610992.415387999964878
0,0,0,4074775.484920000191778,610968.846291000023484
0,0,0,4074784.793289999943227,611016.554914999986067
1,0,0,4074775.018199999816716,611013.884269000031054
0,0,0,4074786.452719999942929,611033.564076000009663
1,0,0,4074777.429560000076890,611032.604718000045978
0,0,0,4074788.501079999841750,611057.288745000027120
0,0,0,4074780.385420000180602,611069.812259000027552
1,1,1,4074792.131080000195652,611079.716984000056982
0,0,0,4074790.860580000095069,611094.236999999964610
0,0,0,4074783.730210000183433,611093.510999000049196
0,0,0,4074773.955130000133067,611081.272699999972247
0,0,0,4074787.800999999977648,611126.984822000027634
0,0,0,4074778.544489999767393,611109.612659999984317
0,0,0,4074793.453439999837428,611127.503393999999389
0,0,0,4074784.093210000079125,611146.690558000002056
0,0,0,4074771.440059999935329,611148.712989000021480
0,0,0,4074787.930649999994785,611174.304516999982297
0,0,0,4074775.614560000132769,611161.184645000030287
1,1,1,4074775.355279999785125,611161.547646000050008
0,0,0,4074788.682579999789596,611182.264596999972127
1,0,0,4074774.707059999927878,611194.113967000041157
0,0,0,4074763.272549999877810,610620.651120999944396
0,0,0,4074748.674749999772757,610613.183684000046924
0,0,0,4074762.728050000034273,610644.012789999949746
0,0,0,4074754.404970000032336,610623.918124999967404
0,0,0,4074769.858409999869764,610673.882536999997683
