system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000019,157,12.453079833928829,0.20885084118801872,3.084575711900989,1.938941,167,12.10526976061345,0.19118410667099597,2.9480353925986975,0.18890558,-0.20924713,255,0.0,1.0,0.0,0.18883513680063455,-0.021179816,174,10.480496945468257,0.1467091855425057,2.7272522834717927,0,Unvegetated,0.16652204349173128,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
00000000000000000091,161,9.561636712865834,0.07275220784265152,2.5407652708514292,1.9380689,169,7.824095649690877,-0.013699717084736496,1.9481756817627893,0.17780536,-0.20210747,255,0.0,1.0,0.0,0.17773968632865697,-0.02520757,178,5.411285882099847,-0.010699272360627883,1.9136532247129128,0,Unvegetated,0.6189959076657556,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
00000000000000000110,157,20.366541837587768,0.2509161342680307,3.9585810858994304,1.9309627,165,21.831963563331165,0.2514823422640718,4.149045046165174,0.1950371,-0.21412854,255,0.0,1.0,0.0,0.19496399620741278,-0.019928746,172,14.840770891787939,0.24722509506413923,3.3331461295806712,0,Unvegetated,0.8773609332119463,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
00000000000000000189,160,12.205731546270766,-0.1917801602235159,2.8304135352930127,1.9380366,167,7.342218444946046,-0.1781518203979758,2.205433095202203,0.18650706,-0.20750614,255,0.0,1.0,0.0,0.18643765244549332,-0.021842597,175,11.210977469872574,-0.13945691867050009,2.665439340402671,0,Unvegetated,0.8795290090725079,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
000000000000000001b2,164,52.59651844482015,0.2640923068076133,5.838440970839082,1.9328241,172,33.28007100893946,0.2775445053723988,4.6205375339259875,0.18465821,-0.19578078,255,0.0,1.0,0.0,0.1845895986356324,-0.011539988,176,44.28597868272015,0.2395357760235884,5.3087127500854,0,Unvegetated,0.9534689704721422,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
000000000000000001f7,161,2.3218889162083647,-0.18927548349249318,1.0377406525746804,1.9360431,170,2.4724782302897026,-0.17867425336182208,1.3449584534449361,0.17916286,-0.2007673,255,0.0,1.0,0.0,0.1790965969265273,-0.022409901,178,2.7145618664953037,-0.09986121496453067,1.2878751447184476,0,Unvegetated,0.017193355937775157,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
0000000000000000023e,159,7.571980156646372,0.029844864701170388,2.1775693562493803,1.924467,163,4.631353192169156,0.12239968308095459,1.7532692056088817,0.205306,-0.22104205,255,0.0,1.0,0.0,0.20522838649775832,-0.016483892,168,4.511000622743186,0.17514664477394234,1.7719102438810435,0,Unvegetated,0.5254791879700961,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
00000000000000000247,152,1.7233256583421785,-0.015503499442711885,0.9860714282455354,1.9332451,157,3.7944990923164816,-0.040214226737201514,1.501643397252433,0.22011511,-0.23676932,255,0.0,1.0,0.0,0.22003088410167415,-0.017570103,163,5.052821829696139,-0.12612894474101005,1.8676076242999438,0,Unvegetated,0.8621563614282061,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
0000000000000000024d,163,10.586469297801775,-0.06853879760129819,2.822226660349508,1.9385048,172,8.887287051582218,-0.05030221403605527,2.396445736136029,0.17660515,-0.19439544,255,0.0,1.0,0.0,0.17653997431415705,-0.018422404,178,5.465343660046138,-0.03499262324095867,1.7804423558873164,0,Unvegetated,0.6797789223345603,"{""type"":""Point"",""coordinates"":[-121.75525930412277,36.80481365739901]}"
000000000000000000b6,133,85.18861303741267,-0.031035456002605467,7.910623972477061,1.9248017,136,76.11601658092981,0.05820801753088239,7.278795427177406,0.28190103,-0.3048625,255,0.0,1.0,0.0,0.2817876398468807,-0.025132462,143,73.4224781367922,0.052395426992176836,7.120275746910759,0,Unvegetated,0.4177282180673282,"{""type"":""Point"",""coordinates"":[-121.75525484502172,36.80481365739901]}"
