system:index,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000265,-0.7647059,16,2.354166666666667,0.32386765274858137,1.2291666666666665,-0.763807285546416,120,2.7291666666666665,0.14615407250309226,1.3958333333333333,0,Unvegetated,0.025799065504973684,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000026e,-0.76978415,16,6.416666666666666,0.31446577096553796,1.9999999999999998,-0.7688991089393504,123,10.291666666666666,0.08091281339171474,2.7083333333333335,0,Unvegetated,0.7029046403425473,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
00000000000000000274,-0.737931,19,7.125,0.257958167593061,2.375,-0.737117663268118,126,1.5208333333333333,0.27950174163224717,0.9791666666666666,0,Unvegetated,0.3175447295914974,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000276,-0.8014184,14,1.4791666666666667,0.16884647056979132,1.0208333333333333,-0.8005100595069425,127,11.375000000000002,0.22287237072136246,3.041666666666667,0,Unvegetated,0.7714794630428118,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000027a,-0.75342464,18,1.9583333333333333,0.21620698413027048,1.2083333333333333,-0.752599890530925,128,8.6875,0.18018442054564818,2.520833333333333,0,Unvegetated,0.3572054529292129,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
0000000000000000027c,-0.7414966,19,1.2291666666666665,0.4047951833136203,0.8541666666666667,-0.7406904050013591,128,1.0625,0.18131692071009192,0.7291666666666666,0,Unvegetated,0.30269379547193265,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000280,-0.74496645,19,1.9583333333333333,0.21002172840491018,1.2083333333333333,-0.7441673370876911,130,4.958333333333333,0.04602272727260942,1.7916666666666665,0,Unvegetated,0.2528161502732702,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000283,-0.6903226,24,1.5625,0.24484339790731008,0.8958333333333333,-0.6896107244135087,131,2.5416666666666665,0.20511016808370253,1.25,0,Unvegetated,0.43639560762559126,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000287,-0.7837838,16,4.875,-0.03988763487471922,1.791666666666667,-0.7829373650107991,132,13.5625,0.16033552499967366,3.0625,0,Unvegetated,0.024121460021800267,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
00000000000000000289,-0.71428573,22,5.604166666666667,0.4003809350460299,1.9791666666666665,-0.7135443694862481,132,4.1875,0.3041584746037554,1.7708333333333333,0,Unvegetated,0.052240949410093274,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
0000000000000000028a,-0.71428573,22,3.458333333333333,0.230924695459588,1.5,-0.7135443694862481,132,1.375,0.07796717171675276,0.9166666666666667,0,Unvegetated,0.23250274342608956,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000028c,-0.7385621,20,4.0625,-0.16931766682307559,1.5625,-0.7377905458344215,133,8.270833333333332,0.26352547565502427,2.4375,0,Unvegetated,0.33942491763472094,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000028d,-0.7051282,23,1.125,0.27756186902529645,0.875,-0.7044057377049181,133,6.0625,0.13416102231293148,1.9375,0,Unvegetated,0.7140233672811704,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.8114131269581]}"
0000000000000000028f,-0.751634,19,7.791666666666666,0.16964025526309695,2.416666666666667,-0.7508487855837034,134,9.166666666666666,0.13166891419088053,2.6666666666666665,0,Unvegetated,0.8797129009769595,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
00000000000000000291,-0.675,26,3.25,-0.1956213714834406,1.5,-0.6743256743256744,134,3.1041666666666665,0.2314368883931252,1.5625000000000002,0,Unvegetated,0.3384577942103367,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000293,-0.7763158,17,9.354166666666668,0.18281040963398648,2.5625,-0.7754994742376446,135,17.875,0.4340760495946282,3.5833333333333335,0,Unvegetated,0.6439203791286966,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000296,-0.70886075,23,0.9791666666666666,0.03456221198158539,0.7708333333333333,-0.7081436519979768,135,1.6458333333333333,0.16180701019392918,1.0208333333333333,0,Unvegetated,0.5840713739549026,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.8114131269581]}"
0000000000000000029b,-0.721519,22,16.229166666666664,0.3609589396160068,3.270833333333333,-0.7207890743550834,136,26.187499999999996,0.41728304523360427,4.354166666666667,0,Unvegetated,0.5394733782155794,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.8114131269581]}"
000000000000000002a0,-0.75641024,19,4.812499999999999,0.32159882967805353,1.8541666666666665,-0.7556352459016393,137,21.145833333333332,0.3875205090028905,3.979166666666666,0,Unvegetated,0.8840149706732748,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002a5,-0.7579618,19,2.583333333333333,-0.044987212276221294,1.25,-0.7571901247136676,138,33.541666666666664,0.19579662224639577,4.75,0,Unvegetated,0.7252876078976161,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
000000000000000002a6,-0.725,22,12.270833333333334,0.12626838886919503,2.6875,-0.7242757242757243,138,26.895833333333332,0.2408678827196323,4.5625,0,Unvegetated,0.5890768850108018,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
000000000000000002a8,-0.78205127,17,1.708333333333333,0.20482456140350938,0.9583333333333334,-0.78125,139,12.208333333333336,0.33974150908369416,3.0416666666666665,0,Unvegetated,0.9712727920533007,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
000000000000000002b1,-0.8064516,15,15.958333333333334,0.28372850836700214,3.4166666666666665,-0.8056200051559681,140,17.625,0.23726588536140403,3.625,0,Unvegetated,0.27393811997770345,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000002b2,-0.7610063,19,3.125,0.054364095400299045,1.4583333333333333,-0.7602412666499121,140,24.208333333333332,0.23665016065619526,4.416666666666667,0,Unvegetated,0.2896300415566221,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002b9,-0.79617834,16,4.708333333333333,0.05280387215030125,1.708333333333333,-0.7953677780605752,141,7.916666666666666,-0.052206651252251476,2.25,0,Unvegetated,0.663699514408993,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
000000000000000002bb,-0.7848101,17,2.25,-0.11689895470383499,1.25,-0.7840161861406171,141,11.854166666666666,0.26853919565895695,3.0208333333333335,0,Unvegetated,0.07911415213061135,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
000000000000000002c0,-0.75308645,20,2.0,0.07799725741151486,1.0416666666666665,-0.7523433645781944,142,1.2708333333333333,-0.24335128532474293,0.9791666666666666,0,Unvegetated,0.29148859041119746,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
000000000000000002c1,-0.74233127,21,8.020833333333334,0.41153895031135135,2.4375,-0.7416033341505271,142,16.479166666666664,0.357654858723572,3.604166666666667,0,Unvegetated,0.14211964082704698,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002c5,-0.72289157,23,5.708333333333332,0.2938550087348802,1.875,-0.7221954742416947,143,20.708333333333332,0.31048770703750367,3.8749999999999996,0,Unvegetated,0.9385962732092675,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000002c9,-0.70238096,25,3.354166666666667,0.09020088525707133,1.4791666666666665,-0.7017126546146527,143,9.604166666666666,0.19966077417563843,2.6875,0,Unvegetated,0.7935926209521106,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
000000000000000002d3,-0.79012346,17,5.833333333333334,0.2529828096957436,2.0,-0.7893438579181056,145,6.375,0.08798169423983856,2.166666666666667,0,Unvegetated,0.5915726115913973,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
