system:index,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000000,11346,283312.3333333333,0.042871357,433.66666666666663,0.056467157,0.11532116,-0.28251177,20281,717760.4583333334,0.15640152522163314,719.4583333333333,0.11532065411062863,-0.17282106,16087,18113,496794.5625,0.047573353688589295,578.7291666666666,141445,0.11527468991742937,296.75,0,unvegetated,0.9031461897473384,"{""type"":""Point"",""coordinates"":[-121.75565616411653,36.811029644267514]}"
00000000000000000001,11026,143408.79166666663,-0.261204807,293.79166666666663,0.039355423,0.11782875,-0.2786156,19543,494023.7916666666,-0.257729441,556.3333333333333,0.11782820875955494,-0.16624448,15423,18063,190438.125,-0.172987912,352.04166666666663,315849.125,-0.148869652,459.83333333333326,0,unvegetated,0.5702488891307576,"{""type"":""Point"",""coordinates"":[-121.75568737782389,36.811029644267514]}"
00000000000000000002,12177,58690.54166666667,0.2976927467325293,207.16666666666663,0.040341791,0.062572725,-0.24521168,20089,225596.0833333333,-0.010306943,399.0833333333333,0.062572463,-0.18548495,17723,18531,107764.89583333331,-0.069757905,273.0625,326488.14583333326,-0.397177829,484.1458333333333,0,unvegetated,0.5841816693800912,"{""type"":""Point"",""coordinates"":[-121.75566508231866,36.811029644267514]}"
00000000000000000003,10857,423318.49999999994,-0.313610637,567.5416666666666,0.034963443875312805,0.07458278,-0.2524529,18190,414028,-0.08836422,314.25,0.074582427,-0.18128346,15665,16961,162396.1458333333,-0.075148861,344.60416666666663,309242.7916666667,-0.215128566,424.83333333333337,0,unvegetated,0.28874661322045025,"{""type"":""Point"",""coordinates"":[-121.75566508231866,36.811029644267514]}"
00000000000000000004,11138,436216.45833333326,0.10415926194482825,537.375,0.030844466760754585,0.07867353,-0.25756565,18866,648704.5208333333,0.082439407,681.1875,0.078673168,-0.18259211,16114,17737,249821.47916666663,0.009590507,408.47916666666663,806560.7708333333,0.1953924906014809,747.5625,0,unvegetated,0.9728644754916544,"{""type"":""Point"",""coordinates"":[-121.75566062321758,36.811029644267514]}"
00000000000000000005,13650,739324.0833333333,-0.039659929,701.2916666666665,0.072620898,0.087923266,-0.24393485,22458,1702595.0833333333,0.081689152,1078.9583333333335,0.087922926,-0.159431,18828,19417,480677.125,0.2010966065682117,617.625,436336.4583333334,-0.040589768,485.8333333333333,0,unvegetated,0.5502276436005131,"{""type"":""Point"",""coordinates"":[-121.75566062321758,36.811029644267514]}"
00000000000000000006,12496,154154.1875,-0.24578485,334.6875,0.019620162,0.07901197,-0.25607976,21099,852923.4375,0.024700001,776.5624999999999,0.079011644,-0.18072447,18009,20287,266345.9583333333,0.048496367478538485,438.875,444886.9166666666,0.049728492,596.7083333333333,0,unvegetated,0.2558275473046615,"{""type"":""Point"",""coordinates"":[-121.75564724591443,36.811029644267514]}"
00000000000000000007,12854,384560.7291666666,0.037014732,515.6458333333334,0.050456304,0.08185911,-0.26209134,21985,337487.95833333326,-0.219041337,468.83333333333337,0.081858792,-0.1841838,18658,19873,983007.75,-0.167120739,835.3333333333334,189876.04166666666,0.2436207748293177,376.4583333333333,0,unvegetated,0.7582981281952729,"{""type"":""Point"",""coordinates"":[-121.75564724591443,36.811029644267514]}"
00000000000000000008,12237,186357.10416666666,0.028676462,339.85416666666663,0.06666667,0.08974121,-0.2530444,20528,369336.1875,-0.049374191,492.3124999999999,0.089740827,-0.16709775,17147,17962,498859.2916666666,-0.187636697,587.3333333333333,211697.83333333334,0.065895075,379.5,0,unvegetated,0.9384146825761221,"{""type"":""Point"",""coordinates"":[-121.75567400052074,36.811029644267514]}"
00000000000000000009,11493,121911.625,-0.201469245,271.79166666666663,0.014978935942053795,0.105822355,-0.25870743,19515,386688.6458333333,-0.159368805,514.8541666666666,0.10582187472729972,-0.15718843,15780,18939,207721.33333333334,-0.41406368,388.7083333333333,581819.8125,-0.030009864,647.4375,0,unvegetated,0.5850483251817771,"{""type"":""Point"",""coordinates"":[-121.75567400052074,36.811029644267514]}"
0000000000000000000a,12267,151716.91666666666,0.25088368787058524,348.33333333333326,0.026477078,0.10178412,-0.2610686,20935,338363.6041666667,0.24824398002034354,487.97916666666663,0.10178368808509831,-0.16363265,17067,19855,287266.7291666667,0.066397551,455.1875,168160.2916666667,0.23160139507812127,321.4166666666667,0,unvegetated,0.8677998703481332,"{""type"":""Point"",""coordinates"":[-121.75564278681338,36.811029644267514]}"
0000000000000000000b,11117,153697.625,0.002969331,292.0833333333333,0.025023987516760826,0.12279506,-0.28001037,19764,208935.4375,-0.348065757,365.97916666666663,0.12279449944269533,-0.16281347,15441,18799,596619.4375,-0.288275675,648.2708333333334,263160.4791666666,0.009817434,414.2708333333333,0,unvegetated,0.48358707993728467,"{""type"":""Point"",""coordinates"":[-121.75568737782389,36.81103410336857]}"
0000000000000000000c,12310,340096.1458333333,-0.344792463,513.3125,0.033115786,0.10439277,-0.26900238,21370,907121.8541666666,-0.12914436,778.5208333333333,0.10439233326167126,-0.16936572,17330,20000,190565.22916666663,-0.2536686,353.4375,780422.6458333334,-0.10898558,748.3958333333333,0,unvegetated,0.8781219333435056,"{""type"":""Point"",""coordinates"":[-121.75565170501548,36.811029644267514]}"
0000000000000000000d,14839,1588192.3333333333,-0.036852919,1005.6666666666666,0.055996354669332504,0.13318364,-0.264048,25487,3290010.2708333335,-0.032339636,1425.5208333333333,0.13318317343645933,-0.1356342,19496,22784,597028.8125,0.116239789,631.0625,535018.0833333333,0.12417139515216738,571.2916666666667,0,unvegetated,0.5187782587528206,"{""type"":""Point"",""coordinates"":[-121.75563386861128,36.811029644267514]}"
0000000000000000000e,13495,339980.6666666667,-0.287153344,487.875,0.046574358,0.07221813,-0.2660775,23280,1973549.4583333333,-0.347049926,1234.4583333333333,0.072217862,-0.19765748,20144,21208,818600.2291666665,-0.307604342,771.4375000000001,3110946.6666666665,-0.387940826,1482.5000000000002,0,unvegetated,0.00877262,"{""type"":""Point"",""coordinates"":[-121.75568291872284,36.81103410336857]}"
0000000000000000000f,9937,44822.85416666667,0.11054161951215827,171.47916666666666,0.048787393,0.08854064,-0.25308177,16671,170526.7708333333,0.31139717039478537,345.3541666666667,0.088540184,-0.16831268,13959,15120,116763.58333333334,0.12217112003819275,286.4166666666667,506139.8541666666,-0.005007122,608.7291666666666,0,unvegetated,0.4992702750187755,"{""type"":""Point"",""coordinates"":[-121.755611573106,36.810730884496934]}"
00000000000000000010,7608,825803.8958333334,0.3935558204272821,772.9791666666666,-5.81E-04,0.080522306,-0.2583711,12909,1871902,0.3565179081626487,1160.8333333333333,0.080521768,-0.1816275,10985,12924,465061.4583333334,0.3673816423709887,575.7083333333334,2101457.6041666665,0.29094207260441074,1205.7708333333333,0,unvegetated,0.7443991269142177,"{""type"":""Point"",""coordinates"":[-121.75838067486018,36.812291569865636]}"
00000000000000000011,7167,61597.45833333333,0.2911361957088209,199.58333333333331,-1.98E-04,0.113816835,-0.27573138,12624,302327.5208333333,0.028360275420781372,443.10416666666663,0.1138160309438437,-0.16716054,10044,12629,113879.60416666666,0.12389738802536515,282.97916666666663,73649.64583333333,0.08691668,225.39583333333334,0,unvegetated,0.3539478914368186,"{""type"":""Point"",""coordinates"":[-121.75837621575913,36.81227819256248]}"
00000000000000000012,6511,64532.958333333336,0.28151926134490635,189.95833333333331,0.029692020267248154,0.1421157,-0.30041903,12103,263578.75,-0.049767893,446.4583333333333,0.14211462025388125,-0.16536342,9091,11405,208366.1458333333,-0.178788337,385.0625,127075.16666666667,-0.084048231,291.75,0,unvegetated,0.4758351997474699,"{""type"":""Point"",""coordinates"":[-121.75837621575913,36.81227819256248]}"
00000000000000000013,7295,89576.54166666669,0.18926734248456067,229.87499999999997,0.019112734124064445,0.15046266,-0.28522438,13117,332390.0416666667,-0.099510834,457.16666666666663,0.15046160269015346,-0.14080442,9686,12625,201961.8125,-0.125396243,384.3125,108684.56249999999,0.22837749754353634,273.9375,0,unvegetated,0.6731514012018973,"{""type"":""Point"",""coordinates"":[-121.75837175665808,36.81227819256248]}"
